index,date,hour,minute,formatVersion,webaclId,terminatingRuleId,terminatingRuleType,action,terminatingRuleMatchDetails,httpSourceName,httpSourceId,ruleGroupList,rateBasedRuleId,rateBasedRuleName,limitKey,maxRateAllowed,evaluationWindowSec,limitValue,clientIp,country,uri,args,httpVersion,httpMethod,requestId,header_Host,header_User_Agent,header_Accept_Encoding,header_Accept,header_Connection,header_x_datadog_trace_id,header_x_datadog_parent_id,header_x_datadog_sampling_priority
11,2024-06-21,02,31,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e5ff-5bfd837b7e9f480a004993d2,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","gzip, deflate","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",keep-alive,,,
12,2024-06-21,02,31,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,WAFSecurityAutomationsXssRule,REGULAR,BLOCK,"[{'conditionType': 'XSS', 'location': 'QUERY_STRING', 'matchedData': ['REDACTED'], 'matchedFieldName': ''}]",ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],,,,,,,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e606-3d8a75e74b05636620ac135c,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","gzip, deflate","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",keep-alive,,,
14,2024-06-21,02,35,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,WAFSecurityAutomationsSqlInjectionRule,REGULAR,BLOCK,"[{'conditionType': 'SQL_INJECTION', 'location': 'QUERY_STRING', 'matchedData': ['REDACTED'], 'matchedFieldName': '', 'sensitivityLevel': 'LOW'}]",ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],,,,,,,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e6e7-4bcc71c14cdab0056792fc8a,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","gzip, deflate","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",keep-alive,,,
16,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7d0-7deb3203589181876a7654ec,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
17,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7d0-4848ac9e058e455805ce9e4f,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
18,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7d6-7cf70b6109b24f0643ba6931,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
19,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7cb-637d4aff5111e9d150775688,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
20,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7d5-5eebee7a3139273d664a1416,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
21,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7de-14f0a830407844cf58cc0439,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
22,2024-06-21,02,39,1,arn:aws:wafv2:ap-northeast-2:175518383537:regional/webacl/WAFSecurityAutomations/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672,Default_Action,REGULAR,ALLOW,[],ALB,175518383537-app/MYDVWA-Appli-joedwOCI5mYH/55fe0f841dda8f11,[],arn:aws:wafv2:ap-northeast-2:175518383537_MANAGED:regional/ipset/b3713c1a-7d3b-48bf-bb1c-ab0d3c5b2672_cf298b20-967a-45ee-995a-e874acf82650_IPV4/cf298b20-967a-45ee-995a-e874acf82650,WAFSecurityAutomationsHttpFloodRateBasedRule,IP,100,300,218.39.203.102,218.39.203.102,KR,REDACTED,REDACTED,HTTP/1.1,REDACTED,1-6674e7dc-66b1156073fa6de70a68e86d,mydvwa-appli-joedwoci5myh-1249247481.ap-northeast-2.elb.amazonaws.com,python-requests/2.28.2,"gzip, deflate, br",*/*,keep-alive,,,
